model,mse,rmse,mae,r2,mse_std,mae_std,r2_std,fit_time_mean,score_time_mean,dataset,n_samples,n_features,n_samples_name,irrelevant_ratio
CatBoostRegressor,3453.725475083638,58.768405415526104,43.2295811691641,0.3232720036571697,1277.4161986305965,4.071929656701133,0.10411123376690824,0.16758270263671876,0.003353738784790039,complex_dataset_n200_noise0_irrelevant0.csv,200,16,noise0,irrelevant0
RandomForest,4101.483182607009,64.04282303745681,48.33979216599029,0.20011236856012343,1534.7181620372787,5.1588473521899765,0.11855643952492323,0.21779203414916992,0.009113502502441407,complex_dataset_n200_noise0_irrelevant0.csv,200,16,noise0,irrelevant0
TabPFN,4134.004638671875,64.2962256953849,49.51436004638672,0.17684566974639893,1307.2881822193756,3.5103832521300853,0.1176064455370289,0.3558384895324707,13.398343896865844,complex_dataset_n200_noise0_irrelevant0.csv,200,16,noise0,irrelevant0
LinearRegression,4613.541249539021,67.92305388849225,52.63230630341733,0.06196658794797445,1383.93352168448,3.603495229591763,0.21399782406854573,0.001063394546508789,0.001817464828491211,complex_dataset_n200_noise0_irrelevant0.csv,200,16,noise0,irrelevant0
