model,mse,rmse,mae,r2,mse_std,mae_std,r2_std,fit_time_mean,score_time_mean,dataset,n_samples,n_features,n_samples_name,irrelevant_ratio
CatBoostRegressor,1407.650048743132,37.51866267263709,28.366695231781513,0.6938216214550672,182.76108733147396,1.5256907468690533,0.01674525675876959,0.6631450653076172,0.008096027374267577,complex_dataset_n1000_noise10_irrelevant0.csv,1000,16,noise10,irrelevant0
TabPFN,2413.480517578125,49.12718715312454,39.95673522949219,0.47259042263031004,169.7302622786909,1.0124851233204546,0.014354725028329551,0.7643102645874024,282.43583674430846,complex_dataset_n1000_noise10_irrelevant0.csv,1000,16,noise10,irrelevant0
RandomForest,2925.5764773910546,54.08859840475675,44.23578288548957,0.3598050087686738,199.58718481599743,1.1478281257671765,0.03553496189296236,1.6996296882629394,0.023308658599853517,complex_dataset_n1000_noise10_irrelevant0.csv,1000,16,noise10,irrelevant0
LinearRegression,3038.8359033961847,55.12563744208483,44.721515743001746,0.33521345169869654,228.827655816646,0.8402298569502676,0.03908263639000086,0.002143573760986328,0.0031276702880859374,complex_dataset_n1000_noise10_irrelevant0.csv,1000,16,noise10,irrelevant0
